"user_id","song_id","previous_song","skipped"
1,2923,-1,4
1,3647,2923,4
1,1941,3647,4
1,2844,1941,4
1,1062,2844,4
1,2708,1062,2
1,649,2708,4
1,4247,649,4
1,1843,4247,2
1,1083,1843,0
1,2729,1083,4
1,907,2729,4
1,4384,907,4
1,3817,4384,4
1,4726,3817,4
1,5505,4726,4
1,3143,5505,4
2,3619,-1,2
2,5475,3619,1
2,3619,5475,0
2,1212,3619,0
2,1768,1212,0
2,3485,1768,4
2,1768,3485,0
2,3485,1768,4
2,1768,3485,1
2,3485,1768,4
2,1768,3485,4
2,1212,1768,2
2,1768,1212,0
2,3485,1768,4
2,1768,3485,1
2,3485,1768,4
2,1768,3485,4
2,1212,1768,1
3,2756,-1,0
3,2363,2756,4
3,2817,2363,1
3,1114,2817,4
3,4247,1114,4
3,1941,4247,4
3,3898,1941,0
3,1114,3898,4
3,4247,1114,0
3,1114,4247,4
3,1114,1114,4
3,1114,1114,4
3,1114,1114,4
3,1114,1114,4
3,1114,1114,4
3,1114,1114,4
3,1114,1114,4
3,1114,1114,4
3,1114,1114,4
3,1114,1114,4
4,491,-1,4
4,491,491,4
4,491,491,4
4,491,491,4
4,491,491,3
4,3267,491,3
4,3627,3267,4
4,2383,3627,4
4,2508,2383,4
4,4173,2508,4
4,4370,4173,4
4,3292,4370,4
4,1152,3292,0
4,5704,1152,4
4,93,5704,4
4,863,93,0
4,1458,863,4
4,5477,1458,4
4,608,5477,4
4,3039,608,4
5,3452,-1,4
5,660,3452,2
5,3452,660,4
5,660,3452,4
5,5456,660,1
5,660,5456,0
5,3452,660,2
5,5616,3452,3
5,1860,5616,2
5,1546,1860,2
5,3951,1546,2
5,3951,3951,1
5,3452,3951,4
5,660,3452,2
5,1546,660,0
5,1979,1546,0
5,2089,1979,0
5,3452,2089,3
5,3452,3452,4
5,660,3452,0
6,3570,-1,0
6,5275,3570,4
6,1000,5275,1
6,5676,1000,0
6,70,5676,0
6,4330,70,0
6,3275,4330,4
6,3909,3275,2
6,3446,3909,1
6,4247,3446,4
6,1941,4247,2
6,1029,1941,4
6,5030,1029,1
6,337,5030,4
6,1029,337,4
7,4068,-1,4
7,1307,4068,4
7,863,1307,4
7,1097,863,2
7,5444,1097,0
7,2125,5444,0
7,4123,2125,0
7,1619,4123,1
7,3446,1619,4
7,3143,3446,4
7,5529,3143,4
7,5675,5529,4
7,337,5675,0
7,1029,337,0
7,5030,1029,0
7,321,5030,4
7,5308,321,4
7,1464,5308,4
7,5272,1464,1
8,765,-1,1
8,4177,765,1
8,3475,4177,0
8,5203,3475,0
8,5618,5203,0
8,482,5618,4
8,3469,482,4
8,676,3469,2
8,3614,676,4
8,765,3614,4
8,4177,765,4
8,3475,4177,4
8,5203,3475,2
8,4803,5203,4
8,4176,4803,2
8,482,4176,4
8,3469,482,4
8,676,3469,2
8,5153,676,0
8,1998,5153,0
9,4841,-1,1
9,2360,4841,4
9,5528,2360,1
9,210,5528,0
9,5746,210,4
9,4092,5746,2
9,3163,4092,0
9,2564,3163,0
9,1883,2564,0
9,2359,1883,0
9,414,2359,0
9,4908,414,0
9,4938,4908,0
9,2274,4938,4
9,2033,2274,1
9,1991,2033,4
9,2247,1991,2
10,1159,-1,0
10,4247,1159,0
10,3143,4247,0
10,4247,3143,0
10,5194,4247,0
10,4247,5194,0
10,3143,4247,0
10,4247,3143,0
10,3485,4247,0
10,4247,3485,0
10,2923,4247,0
10,4247,2923,0
10,2708,4247,0
